Metric     | Correct   |      Gold | Predicted | Aligned
-----------+-----------+-----------+-----------+-----------
Tokens     |     24841 |     25096 |     25071 |          
Sentences  |      1455 |      2077 |      1786 |          
Words      |     24841 |     25096 |     25071 |     24841
UPOS       |         0 |     25096 |     25071 |     24841
XPOS       |     23278 |     25096 |     25071 |     24841
UFeats     |      8362 |     25096 |     25071 |     24841
AllTags    |         0 |     25096 |     25071 |     24841
Lemmas     |     24250 |     25096 |     25071 |     24841
UAS        |     19369 |     25096 |     25071 |     24841
LAS        |     18329 |     25096 |     25071 |     24841
CLAS       |     10439 |     15155 |     15184 |     14982
MLAS       |         0 |     15155 |     15184 |     14982
BLEX       |     10186 |     15155 |     15184 |     14982
